age,economic_status,dist_group,main_mode,share
,,0 - 1000,bike,0.032655612691786885
,,0 - 1000,car,0.04167547573846994
,,0 - 1000,pt,0.005657489502494098
,,0 - 1000,ride,0.01185436928633314
,,0 - 1000,walk,0.16104825440140907
,,1000 - 2000,bike,0.023255454766641575
,,1000 - 2000,car,0.03638052635990729
,,1000 - 2000,pt,0.011407285245179609
,,1000 - 2000,ride,0.013197787442657472
,,1000 - 2000,walk,0.048752550467535516
,,2000 - 5000,bike,0.04087923269708797
,,2000 - 5000,car,0.10542388776215117
,,2000 - 5000,pt,0.027432662319995728
,,2000 - 5000,ride,0.01885749810244058
,,2000 - 5000,walk,0.021203775215933595
,,5000 - 10000,bike,0.011942672065260576
,,5000 - 10000,car,0.11330680826322677
,,5000 - 10000,pt,0.029502674849636906
,,5000 - 10000,ride,0.027454116490064653
,,5000 - 10000,walk,0.0025421803882745542
,,10000 - 20000,bike,0.0012090143890638972
,,10000 - 20000,car,0.10042464110546154
,,10000 - 20000,pt,0.02493771431011178
,,10000 - 20000,ride,0.021113453076882904
,,10000 - 20000,walk,0.00014308949485863318
,,20000+,bike,0.001960136426682156
,,20000+,car,0.04060944936112114
,,20000+,pt,0.006145778177313169
,,20000+,ride,0.01902640960201765
,,20000+,walk,0.0
0 - 12,,0 - 1000,bike,0.03462130683537337
0 - 12,,0 - 1000,car,0.0
0 - 12,,0 - 1000,pt,0.002929940498697246
0 - 12,,0 - 1000,ride,0.04813466959921054
0 - 12,,0 - 1000,walk,0.1936758201574987
0 - 12,,1000 - 2000,bike,0.03684881841911733
0 - 12,,1000 - 2000,car,0.006200174470748215
0 - 12,,1000 - 2000,pt,0.016491292803213813
0 - 12,,1000 - 2000,ride,0.03341071030511212
0 - 12,,1000 - 2000,walk,0.05164554849741785
0 - 12,,2000 - 5000,bike,0.027723151002977574
0 - 12,,2000 - 5000,car,0.0
0 - 12,,2000 - 5000,pt,0.05605210375529834
0 - 12,,2000 - 5000,ride,0.06042596335280004
0 - 12,,2000 - 5000,walk,0.021762628055962296
0 - 12,,5000 - 10000,bike,0.015928917540458578
0 - 12,,5000 - 10000,car,0.006200174470748215
0 - 12,,5000 - 10000,pt,0.0770469202248743
0 - 12,,5000 - 10000,ride,0.09344088929268825
0 - 12,,5000 - 10000,walk,0.0
0 - 12,,10000 - 20000,bike,0.003009045044028792
0 - 12,,10000 - 20000,car,0.006200174470748215
0 - 12,,10000 - 20000,pt,0.04388628244109129
0 - 12,,10000 - 20000,ride,0.09326431519064596
0 - 12,,10000 - 20000,walk,0.0
0 - 12,,20000+,bike,0.0
0 - 12,,20000+,car,0.0
0 - 12,,20000+,pt,0.020102133436019427
0 - 12,,20000+,ride,0.05099902013526958
0 - 12,,20000+,walk,0.0
12 - 18,,0 - 1000,bike,
12 - 18,,0 - 1000,car,
12 - 18,,0 - 1000,pt,
12 - 18,,0 - 1000,ride,
12 - 18,,0 - 1000,walk,
12 - 18,,1000 - 2000,bike,
12 - 18,,1000 - 2000,car,
12 - 18,,1000 - 2000,pt,
12 - 18,,1000 - 2000,ride,
12 - 18,,1000 - 2000,walk,
12 - 18,,2000 - 5000,bike,
12 - 18,,2000 - 5000,car,
12 - 18,,2000 - 5000,pt,
12 - 18,,2000 - 5000,ride,
12 - 18,,2000 - 5000,walk,
12 - 18,,5000 - 10000,bike,
12 - 18,,5000 - 10000,car,
12 - 18,,5000 - 10000,pt,
12 - 18,,5000 - 10000,ride,
12 - 18,,5000 - 10000,walk,
12 - 18,,10000 - 20000,bike,
12 - 18,,10000 - 20000,car,
12 - 18,,10000 - 20000,pt,
12 - 18,,10000 - 20000,ride,
12 - 18,,10000 - 20000,walk,
12 - 18,,20000+,bike,
12 - 18,,20000+,car,
12 - 18,,20000+,pt,
12 - 18,,20000+,ride,
12 - 18,,20000+,walk,
18 - 25,,0 - 1000,bike,0.013604706591717952
18 - 25,,0 - 1000,car,0.057943125977866335
18 - 25,,0 - 1000,pt,0.03254772169940303
18 - 25,,0 - 1000,ride,0.0
18 - 25,,0 - 1000,walk,0.12301874016645298
18 - 25,,1000 - 2000,bike,0.0067808627374395004
18 - 25,,1000 - 2000,car,0.02158945337317105
18 - 25,,1000 - 2000,pt,0.016407675891208128
18 - 25,,1000 - 2000,ride,0.04110415429485755
18 - 25,,1000 - 2000,walk,0.030108128909029173
18 - 25,,2000 - 5000,bike,0.035440645416214896
18 - 25,,2000 - 5000,car,0.11102552544673201
18 - 25,,2000 - 5000,pt,0.017330508910233532
18 - 25,,2000 - 5000,ride,0.0
18 - 25,,2000 - 5000,walk,0.033167450334002854
18 - 25,,5000 - 10000,bike,0.0
18 - 25,,5000 - 10000,car,0.19858419006858832
18 - 25,,5000 - 10000,pt,0.018433660174302206
18 - 25,,5000 - 10000,ride,0.0
18 - 25,,5000 - 10000,walk,0.0
18 - 25,,10000 - 20000,bike,0.0
18 - 25,,10000 - 20000,car,0.06301272622061059
18 - 25,,10000 - 20000,pt,0.06142877343008406
18 - 25,,10000 - 20000,ride,0.023374160899891375
18 - 25,,10000 - 20000,walk,0.0
18 - 25,,20000+,bike,0.0
18 - 25,,20000+,car,0.08546133366715526
18 - 25,,20000+,pt,0.009636455791039219
18 - 25,,20000+,ride,0.0
18 - 25,,20000+,walk,0.0
25 - 35,,0 - 1000,bike,0.048584035348115694
25 - 35,,0 - 1000,car,0.07629284648315279
25 - 35,,0 - 1000,pt,0.0
25 - 35,,0 - 1000,ride,0.008478770885354068
25 - 35,,0 - 1000,walk,0.10819976828123475
25 - 35,,1000 - 2000,bike,0.012079328341428476
25 - 35,,1000 - 2000,car,0.025539703969328635
25 - 35,,1000 - 2000,pt,0.0
25 - 35,,1000 - 2000,ride,0.0
25 - 35,,1000 - 2000,walk,0.0
25 - 35,,2000 - 5000,bike,0.015203797198350804
25 - 35,,2000 - 5000,car,0.14426412892065296
25 - 35,,2000 - 5000,pt,0.024456951245099057
25 - 35,,2000 - 5000,ride,0.0
25 - 35,,2000 - 5000,walk,0.010994160318244154
25 - 35,,5000 - 10000,bike,0.03857665381263352
25 - 35,,5000 - 10000,car,0.1550356125953844
25 - 35,,5000 - 10000,pt,0.0424094158934312
25 - 35,,5000 - 10000,ride,0.0
25 - 35,,5000 - 10000,walk,0.0
25 - 35,,10000 - 20000,bike,0.0
25 - 35,,10000 - 20000,car,0.20085503769837926
25 - 35,,10000 - 20000,pt,0.0
25 - 35,,10000 - 20000,ride,0.0
25 - 35,,10000 - 20000,walk,0.0
25 - 35,,20000+,bike,0.0
25 - 35,,20000+,car,0.0356263387679865
25 - 35,,20000+,pt,0.003011559277751602
25 - 35,,20000+,ride,0.05039189096347213
25 - 35,,20000+,walk,0.0
35 - 66,,0 - 1000,bike,0.028454177631784226
35 - 66,,0 - 1000,car,0.050082598903352316
35 - 66,,0 - 1000,pt,0.000200485465783019
35 - 66,,0 - 1000,ride,0.0047867063014041065
35 - 66,,0 - 1000,walk,0.14078999399647754
35 - 66,,1000 - 2000,bike,0.0238023896993887
35 - 66,,1000 - 2000,car,0.053146080991117325
35 - 66,,1000 - 2000,pt,0.0023899839659059625
35 - 66,,1000 - 2000,ride,0.0024406106656124867
35 - 66,,1000 - 2000,walk,0.03818322708683438
35 - 66,,2000 - 5000,bike,0.06427900421100831
35 - 66,,2000 - 5000,car,0.1366230101547643
35 - 66,,2000 - 5000,pt,0.021201043610705853
35 - 66,,2000 - 5000,ride,0.024849975236749255
35 - 66,,2000 - 5000,walk,0.012532576273285606
35 - 66,,5000 - 10000,bike,0.011643463897969294
35 - 66,,5000 - 10000,car,0.11796619039094716
35 - 66,,5000 - 10000,pt,0.02315209239460174
35 - 66,,5000 - 10000,ride,0.006904974000377063
35 - 66,,5000 - 10000,walk,0.006242206944093276
35 - 66,,10000 - 20000,bike,0.0006010641021893181
35 - 66,,10000 - 20000,car,0.1417363001055975
35 - 66,,10000 - 20000,pt,0.020247489158749854
35 - 66,,10000 - 20000,ride,0.006874520930820874
35 - 66,,10000 - 20000,walk,0.00035134966918677
35 - 66,,20000+,bike,0.0021057600353812838
35 - 66,,20000+,car,0.05357653931312183
35 - 66,,20000+,pt,0.0015583646008854083
35 - 66,,20000+,ride,0.003277820261904997
35 - 66,,20000+,walk,0.0
66+,,0 - 1000,bike,0.04694841650662733
66+,,0 - 1000,car,0.012437373515111578
66+,,0 - 1000,pt,0.0
66+,,0 - 1000,ride,0.01361065128207483
66+,,0 - 1000,walk,0.261332110098921
66+,,1000 - 2000,bike,0.03531574415630489
66+,,1000 - 2000,car,0.04252690730420425
66+,,1000 - 2000,pt,0.03338080003092814
66+,,1000 - 2000,ride,0.006805325641037415
66+,,1000 - 2000,walk,0.12789616688501126
66+,,2000 - 5000,bike,0.019825840163633077
66+,,2000 - 5000,car,0.07913357521583811
66+,,2000 - 5000,pt,0.031371989040531977
66+,,2000 - 5000,ride,0.0033211180220941395
66+,,2000 - 5000,walk,0.03844254395878124
66+,,5000 - 10000,bike,0.0
66+,,5000 - 10000,car,0.07495593621094332
66+,,5000 - 10000,pt,0.006950033100013916
66+,,5000 - 10000,ride,0.07160124944968926
66+,,5000 - 10000,walk,0.0
66+,,10000 - 20000,bike,0.0033249579873575598
66+,,10000 - 20000,car,0.03327054170106392
66+,,10000 - 20000,pt,0.005823229062297925
66+,,10000 - 20000,ride,0.011747756290565169
66+,,10000 - 20000,walk,0.0
66+,,20000+,bike,0.006583506841562374
66+,,20000+,car,0.0031801118860695556
66+,,20000+,pt,0.005149148204184368
66+,,20000+,ride,0.02506496744515332
66+,,20000+,walk,0.0
,very_low,0 - 1000,bike,0.059263347454401545
,very_low,0 - 1000,car,0.050018329450972066
,very_low,0 - 1000,pt,0.039248456151229405
,very_low,0 - 1000,ride,0.029616149312786045
,very_low,0 - 1000,walk,0.1955560304409704
,very_low,1000 - 2000,bike,0.03553310167461729
,very_low,1000 - 2000,car,0.065394704041032
,very_low,1000 - 2000,pt,0.035404100615218016
,very_low,1000 - 2000,ride,0.008636818775975209
,very_low,1000 - 2000,walk,0.06715920215150006
,very_low,2000 - 5000,bike,0.10410396243008477
,very_low,2000 - 5000,car,0.018387914660647812
,very_low,2000 - 5000,pt,0.024745558093554176
,very_low,2000 - 5000,ride,0.0
,very_low,2000 - 5000,walk,0.016229323181254633
,very_low,5000 - 10000,bike,0.0027478975491454704
,very_low,5000 - 10000,car,0.06243547712148473
,very_low,5000 - 10000,pt,0.021748564729667717
,very_low,5000 - 10000,ride,0.050328735987315715
,very_low,5000 - 10000,walk,0.0
,very_low,10000 - 20000,bike,0.0
,very_low,10000 - 20000,car,0.0169940311294867
,very_low,10000 - 20000,pt,0.03956714361567764
,very_low,10000 - 20000,ride,0.02362755833712242
,very_low,10000 - 20000,walk,0.0
,very_low,20000+,bike,0.006328839148198335
,very_low,20000+,car,0.006192206936780367
,very_low,20000+,pt,0.020732547010877424
,very_low,20000+,ride,0.0
,very_low,20000+,walk,0.0
,low,0 - 1000,bike,0.02602107645397671
,low,0 - 1000,car,0.0028528089160978175
,low,0 - 1000,pt,0.0025376891912793405
,low,0 - 1000,ride,0.0012995217164520137
,low,0 - 1000,walk,0.19653900472017036
,low,1000 - 2000,bike,0.024669109843348008
,low,1000 - 2000,car,0.03047479514683615
,low,1000 - 2000,pt,0.009795603449455018
,low,1000 - 2000,ride,0.0
,low,1000 - 2000,walk,0.036107390421726275
,low,2000 - 5000,bike,0.01619087940538215
,low,2000 - 5000,car,0.11441326502195509
,low,2000 - 5000,pt,0.02674542306125783
,low,2000 - 5000,ride,0.0484447449700893
,low,2000 - 5000,walk,0.01951621980371592
,low,5000 - 10000,bike,0.0021613344344777576
,low,5000 - 10000,car,0.0391062575253225
,low,5000 - 10000,pt,0.03877081152493894
,low,5000 - 10000,ride,0.0039990776097198494
,low,5000 - 10000,walk,0.0066416083322139805
,low,10000 - 20000,bike,0.0021613344344777576
,low,10000 - 20000,car,0.17954924153362414
,low,10000 - 20000,pt,0.05094665202001079
,low,10000 - 20000,ride,0.0325738046513467
,low,10000 - 20000,walk,0.0007591348719356247
,low,20000+,bike,0.002870311895546186
,low,20000+,car,0.053617762448029814
,low,20000+,pt,0.0
,low,20000+,ride,0.031235136596614105
,low,20000+,walk,0.0
,medium,0 - 1000,bike,0.024035631525462564
,medium,0 - 1000,car,0.03963753397623261
,medium,0 - 1000,pt,0.0
,medium,0 - 1000,ride,0.007963023066794315
,medium,0 - 1000,walk,0.1639450698396611
,medium,1000 - 2000,bike,0.023750801344622145
,medium,1000 - 2000,car,0.03845722663165022
,medium,1000 - 2000,pt,0.00570778023210168
,medium,1000 - 2000,ride,0.014375683378411601
,medium,1000 - 2000,walk,0.0518110397156877
,medium,2000 - 5000,bike,0.027559184758656163
,medium,2000 - 5000,car,0.1326998120822968
,medium,2000 - 5000,pt,0.03063361858134014
,medium,2000 - 5000,ride,0.014014274588102251
,medium,2000 - 5000,walk,0.025036725152472093
,medium,5000 - 10000,bike,0.012939290007213273
,medium,5000 - 10000,car,0.15094863643143452
,medium,5000 - 10000,pt,0.019088835232119777
,medium,5000 - 10000,ride,0.02717842035164309
,medium,5000 - 10000,walk,0.002346149748928132
,medium,10000 - 20000,bike,0.0005259896789741433
,medium,10000 - 20000,car,0.09920959434370945
,medium,10000 - 20000,pt,0.015419168108928242
,medium,10000 - 20000,ride,0.01686793509998323
,medium,10000 - 20000,walk,0.0
,medium,20000+,bike,0.00028365092566240516
,medium,20000+,car,0.03414517815388737
,medium,20000+,pt,0.002699106709655552
,medium,20000+,ride,0.018720640334369418
,medium,20000+,walk,0.0
,high,0 - 1000,bike,0.04230464152023348
,high,0 - 1000,car,0.07941971299157953
,high,0 - 1000,pt,0.0
,high,0 - 1000,ride,0.020384321859898653
,high,0 - 1000,walk,0.10032126547193893
,high,1000 - 2000,bike,0.012623608304544905
,high,1000 - 2000,car,0.02096645048051166
,high,1000 - 2000,pt,0.011391119209553656
,high,1000 - 2000,ride,0.027386185540588765
,high,1000 - 2000,walk,0.04577603647131147
,high,2000 - 5000,bike,0.051777105300834056
,high,2000 - 5000,car,0.0959697269977337
,high,2000 - 5000,pt,0.015535718788744272
,high,2000 - 5000,ride,0.015602720524648938
,high,2000 - 5000,walk,0.01655745618936334
,high,5000 - 10000,bike,0.01566433986404102
,high,5000 - 10000,car,0.12714513048328988
,high,5000 - 10000,pt,0.040723302297324605
,high,5000 - 10000,ride,0.03334762370639756
,high,5000 - 10000,walk,0.0010124198893556656
,high,10000 - 20000,bike,0.0028409095226449963
,high,10000 - 20000,car,0.08828129044192509
,high,10000 - 20000,pt,0.014987853047770497
,high,10000 - 20000,ride,0.019692230187811462
,high,10000 - 20000,walk,0.0
,high,20000+,bike,0.002305847944898742
,high,20000+,car,0.06441050184365238
,high,20000+,pt,0.01098853705817676
,high,20000+,ride,0.022583944061225842
,high,20000+,walk,0.0
,very_high,0 - 1000,bike,0.02493374294659139
,very_high,0 - 1000,car,0.028850811233391005
,very_high,0 - 1000,pt,0.0
,very_high,0 - 1000,ride,0.0
,very_high,0 - 1000,walk,0.12313681230398564
,very_high,1000 - 2000,bike,0.021426580650879688
,very_high,1000 - 2000,car,0.0
,very_high,1000 - 2000,pt,0.0
,very_high,1000 - 2000,ride,0.0
,very_high,1000 - 2000,walk,0.0
,very_high,2000 - 5000,bike,0.06143865871611126
,very_high,2000 - 5000,car,0.047606549340909
,very_high,2000 - 5000,pt,0.10046558988798042
,very_high,2000 - 5000,ride,0.00803272460167074
,very_high,2000 - 5000,walk,0.02678846270918874
,very_high,5000 - 10000,bike,0.11456732763854724
,very_high,5000 - 10000,car,0.13911282362244073
,very_high,5000 - 10000,pt,0.13541226537558332
,very_high,5000 - 10000,ride,0.04814104274523737
,very_high,5000 - 10000,walk,0.0
,very_high,10000 - 20000,bike,0.0
,very_high,10000 - 20000,car,0.047606549340909
,very_high,10000 - 20000,pt,0.0
,very_high,10000 - 20000,ride,0.00803272460167074
,very_high,10000 - 20000,walk,0.0
,very_high,20000+,bike,0.0
,very_high,20000+,car,0.06444733428490364
,very_high,20000+,pt,0.0
,very_high,20000+,ride,0.0
,very_high,20000+,walk,0.0
